Symbol,Stock Exchange,Description,Resource,% Portfolio Weight,Shares Held,Market Value,Twitter,,,
LVS,NYSE,Las Vegas Sands Corp,Las Vegas Sands,0.16%,2.5K,$158.8K,@LasVegasSands,,,
CTL,NYSE,CenturyLink Inc,CenturyLink,0.16%,3.8K,$158.3K,@CenturyLink,,,
PCG,NYSE,PG&E Corp,PG&E,0.16%,3.1K,$157.1K,@PGE4Me,,,
SYY,NYSE,Sysco Corp,Sysco,0.16%,3.9K,$153.8K,@Sysco,,,
HES,NYSE,Hess Corp,Hess,0.16%,1.9K,$153.5K,@HessCorporation,,,
WM,NYSE,Waste Management Inc,Waste Management,0.16%,3.1K,$152.2K,@WasteManagement,,,
BEN,NYSE,Franklin Resources Inc,Franklin Resources,0.15%,2.7K,$150.2K,@FTI_US,@FTI_Global,,
MRO,NYSE,Marathon Oil Corp,Marathon Oil,0.15%,4.6K,$149.4K,@MarathonOil,,,
RAI,NYSE,Reynolds American Inc,Reynolds American,0.14%,2.1K,$138.0K,@RAI_News,,,
CCL,NYSE,Carnival Corp,Carnival,0.12%,2.9K,$119.8K,@CarnivalCruise,,,
K,NYSE,Kellogg Co,Kellogg,0.12%,1.7K,$114.7K,@KelloggCompany,,,
EL,NYSE,Estee Lauder Cos Inc Class A,Estee Lauder Cos Class A,0.11%,1.5K,$111.9K,@EsteeLauder,,,
TRI,NYSE,Thomson Reuters Corp,Thomson Reuters,0.09%,2.4K,$91.5K,@ThomsonReuters,,,
VMW,NYSE,VMWare Inc,VMWare,0.05%,594,$49.8K,@Vmware,,,
TMUS,NYSE,T-Mobile US Inc,T-Mobile US,0.05%,1.8K,$49.2K,@Tmobile,,,
CDK,NASDAQ,CDK Global Inc,CDK Global,0.04%,1.1K,$41.4K,@CDKGlobal,,,
SCCO,NYSE,Southern Copper Corp,Southern Copper,0.03%,994,$29.7K,,,,
S,NYSE,Sprint Corp,Sprint,0.02%,4.9K,$23.2K,@Sprint,@Sprintnews,,
